p,q,pq
40123,72959,2927333957
92233,44207,4077344231
32941,26347,867896527
55339,14347,793948633
70439,80909,5699149051
64879,7669,497557051
21163,79697,1686627611
42787,8543,365529341
2447,63031,154236857
94379,72551,6847290829
77477,58909,4564092593
57221,4817,275633557
14929,53527,799104583
58613,21143,1239254659
25841,12041,311151481
11731,1531,17960161
73351,88327,6478873777
60733,58997,3583064801
2971,14851,44122321
75289,1223,92078447
15887,9187,145953869
38113,35419,1349924347
7211,38153,275121283
17837,41809,745747133
77101,59581,4593754681
94693,99013,9375838009
91199,89213,8136136387
1409,13009,18329681
23747,227,5390569
75941,20113,1527401333
93913,90019,8453954347
51481,32189,1657121909
67607,75217,5085195719
81083,34781,2820147823
53359,7507,400566013
11279,88663,1000029977
23899,75683,1808748017
30097,87881,2644954457
74159,57557,4268369563
45289,6491,293970899
30223,21211,641060053
26821,70639,1894608619
12149,30113,365842837
66593,36313,2418191609
1019,81463,83010797
32603,58679,1913111437
73999,8681,642385319
20071,11813,237098723
40823,39079,1595322017
94351,25577,2413215527
68899,79559,5481535541
17657,73961,1305929377
67843,48341,3279598463
49033,25229,1237053557
77549,75521,5856578029
40993,9041,370617713
61511,77893,4791276323
93967,72997,6859309099
51581,90659,4676281879
77587,18211,1412936857
10859,19763,214606417
70589,11887,839091443
22573,72559,1637874307
65267,89627,5849685409
17569,90947,1597847843
81373,43517,3541108841
38723,74869,2899152287
73709,74531,5493605479
23333,72271,1686299243
22691,22937,520463467
78941,30181,2382518321
88513,56857,5032583641
91393,25183,2301549919
71999,84467,6081539533
14771,90527,1337174317
40847,60607,2475614129
61723,93383,5763878909
55799,42349,2363031851
78857,34327,2706924239
2027,7127,14446429
37907,44491,1686520337
34513,19699,679871587
12967,29837,386896379
53987,13003,701992961
87739,74653,6549979567
40213,40841,1642339133
36037,43973,1584655001
87049,96233,8376986417
7297,4423,32274631
39451,47419,1870726969
49727,6029,299804083
71983,8669,624020627
85781,22171,1901850551
66553,7757,516251621
13441,23431,314936071
7499,87151,653545349
1811,30347,54958417
66107,90121,5957628947
29131,19477,567384487
17393,41047,713930471
82361,101,8318461
23087,6829,157661123
88493,45497,4026166021
77699,80809,6278778491
42829,56923,2437955167
50951,75787,3861423437
67801,31159,2112611359
58679,523,30689117
89083,30103,2681665549
44449,16729,743587321
77681,13249,1029195569
73643,82559,6079892437
23537,22147,521273939
3527,50951,179704177
71161,74377,5292741697
56843,80929,4600247147
61409,12853,789289877
93553,32059,2999215627
76103,7561,575414783
81883,76511,6264950213
98317,32363,3181833071
26777,83383,2232746591
82279,31231,2569655449
5839,98269,573792691
94421,2237,211219777
13339,41479,553288381
4243,39161,166160123
44687,21481,959921447
4099,77101,316036999
35677,9781,348956737
46091,44683,2059484153
74933,54767,4103855611
32363,6317,204437071
69473,29231,2030765263
21617,1999,43212383
20369,20593,419458817
54419,151,8217269
3607,58733,211849931
26171,77723,2034088633
29833,59981,1789413173
51479,97829,5036139091
86579,10513,910205027
8089,88643,717033227
46279,31333,1450059907
